Scale,county,species,mean_birds,Rank,%,check
Country,England,House Sparrow,4.263,1,62.69,0
Country,England,Starling,2.974,2,42.44,0
Country,England,Blue Tit,2.875,3,83.59,0
Country,England,Blackbird,2.537,4,89.91,0
Country,England,Woodpigeon,1.991,5,69.49,0
Country,England,Chaffinch,1.693,6,49.32,0
Country,England,Goldfinch,1.599,7,34.12,0
Country,England,Great Tit,1.514,8,59.63,0
Country,England,Collared Dove,1.354,9,53.1,0
Country,England,Robin,1.347,10,83.67,0
Country,England,Dunnock,1.07,11,52.17,0
Country,England,Magpie,0.962,12,47.73,0
Country,England,Long tailed tit,0.88,13,25.64,0
Country,England,Greenfinch,0.812,14,26.92,0
Country,England,Feral pigeon,0.716,15,19.69,0
Country,England,Coal Tit,0.597,16,31.58,0
Country,England,Carrion crow,0.585,17,23.44,0
Country,England,Jackdaw,0.583,18,16.42,0
Country,England,Wren,0.301,19,25.8,0
Country,England,Common gull,0.224,20,4.84,0
Country,England,Pheasant,0.18,21,8.24,0
Country,England,Bullfinch,0.174,22,8.57,0
Country,England,Song Thrush,0.173,23,13.65,0
Country,England,Great spotted woodpecker,0.169,24,14.07,0
Country,England,Rook,0.153,25,3.57,0
Country,England,Nuthatch,0.141,26,9.77,0
Country,England,Redwing,0.14,27,3.54,0
Country,England,Fieldfare,0.137,28,2.44,0
Country,England,Tree sparrow,0.135,29,3.15,0
Country,England,Jay,0.094,30,6.72,0
Country,England,Black headed gull,0.09,31,2.07,0
Country,England,Pied wagtail,0.076,32,5.28,0
Country,England,Ring necked parakeet,0.066,33,2.29,0
Country,England,Blackcap,0.064,34,5.02,0
Country,England,Siskin,0.059,35,2.38,0
Country,England,Mallard,0.054,36,1.2,0
Country,England,Redpoll,0.048,37,1.58,0
Country,England,Sparrowhawk,0.046,38,4.49,0
Country,England,Herring gull,0.044,39,1.7,0
Country,England,Green woodpecker,0.036,40,3.34,0
Country,England,Moorhen,0.032,41,1.57,0
Country,England,Buzzard,0.03,42,2.01,0
Country,England,Reed bunting,0.025,43,1.17,0
Country,England,Red Kite,0.023,44,1.13,0
Country,England,Goldcrest,0.023,45,1.87,0
Country,England,Yellowhammer,0.02,46,0.89,0
Country,England,Mistle thrush,0.019,47,1.54,0
Country,England,Stock dove,0.018,48,1.05,0
Country,England,Marsh tit,0.017,49,1.29,0
Country,England,Grey wagtail,0.017,50,1.44,0
Country,England,Grey heron,0.017,51,1.63,0
Country,England,Treecreeper,0.016,52,1.43,0
Country,England,Lesser spotted woodpecker,0.014,53,1.29,0
Country,England,Kestrel,0.01,54,1.06,1
Country,England,Brambling,0.009,55,0.59,0
Country,England,Willow tit,0.008,56,0.69,0
Country,England,Red legged partridge,0.008,57,0.41,0
Country,England,Chiffchaff,0.005,58,0.41,0
Country,England,Linnet,0.004,59,0.3,0
Country,England,Raven,0.003,60,0.29,0
Country,England,Barn owl,0.002,61,0.26,1
Country,England,Tawny owl,0.001,62,0.19,1
Country,England,Grey partridge,0.001,63,0.14,1
Country,England,Little owl,0.001,64,0.11,1
Country,England,Lesser black backed gull,0,65,0.11,1
Country,England,Great black backed gull,0,66,0.11,1
Country,England,Corn bunting,0,67,0.09,1
Country,England,Black redstart,0,68,0.05,1
Country,England,Lapwing,0,69,0.11,1
Country,England,Meadow pipit,0,70,0.04,1
Country,England,Skylark,0,71,0.05,1
Country,England,Waxwing,0,72,0.05,1
Country,England,Hooded crow,0,73,0,
Country,N Ire,House Sparrow,5.535,1,69.09,0
Country,N Ire,Starling,5.034,2,57.35,0
Country,N Ire,Chaffinch,4.199,3,73.14,0
Country,N Ire,Goldfinch,2.875,4,40.17,0
Country,N Ire,Blue Tit,2.689,5,80.15,0
Country,N Ire,Blackbird,2.491,6,89.79,0
Country,N Ire,Great Tit,2.131,7,66.37,0
Country,N Ire,Coal Tit,1.71,8,62.47,0
Country,N Ire,Collared Dove,1.439,9,53.4,0
Country,N Ire,Robin,1.437,10,86.15,0
Country,N Ire,Magpie,1.283,11,58.07,0
Country,N Ire,Greenfinch,1.078,12,32.48,0
Country,N Ire,Jackdaw,0.996,13,27.07,0
Country,N Ire,Carrion crow,0.866,14,19.53,0
Country,N Ire,Woodpigeon,0.832,15,35.16,0
Country,N Ire,Feral pigeon,0.767,16,18.4,0
Country,N Ire,Dunnock,0.746,17,38.98,0
Country,N Ire,Long tailed tit,0.451,18,12.66,0
Country,N Ire,Redpoll,0.397,19,10.97,0
Country,N Ire,Rook,0.365,20,8.27,0
Country,N Ire,Song Thrush,0.335,21,23.92,0
Country,N Ire,Wren,0.319,22,22.51,0
Country,N Ire,Siskin,0.258,23,9.4,0
Country,N Ire,Common gull,0.23,24,4.56,0
Country,N Ire,Tree sparrow,0.174,25,4.05,0
Country,N Ire,Pied wagtail,0.161,26,10.41,0
Country,N Ire,Blackcap,0.156,27,11.99,0
Country,N Ire,Bullfinch,0.132,28,7.48,0
Country,N Ire,Pheasant,0.107,29,5.68,0
Country,N Ire,Hooded crow,0.101,30,5.8,0
Country,N Ire,Jay,0.086,31,5.46,0
Country,N Ire,Fieldfare,0.078,32,1.18,0
Country,N Ire,Black headed gull,0.068,33,2.08,0
Country,N Ire,Buzzard,0.06,34,3.71,0
Country,N Ire,Sparrowhawk,0.058,35,5.85,1
Country,N Ire,Herring gull,0.044,36,1.41,0
Country,N Ire,Mallard,0.038,37,0.9,0
Country,N Ire,Mistle thrush,0.036,38,2.76,0
Country,N Ire,Red Kite,0.029,39,1.41,0
Country,N Ire,Redwing,0.027,40,0.73,0
Country,N Ire,Grey wagtail,0.026,41,2.08,0
Country,N Ire,Moorhen,0.025,42,1.07,0
