county,species,mean_birds,% gardens,rank_birds
Aberdeen City,House Sparrow,4.45,69,1
Aberdeen City,Starling,2.86,42.86,2
Aberdeen City,Blackbird,2.85,92.1,3
Aberdeen City,Chaffinch,2.21,53.5,4
Aberdeen City,Blue Tit,2.2,77.96,5
Aberdeen City,Feral pigeon,1.83,38.2,6
Aberdeen City,Woodpigeon,1.48,58.81,7
Aberdeen City,Robin,1.28,86.32,8
Aberdeen City,Coal Tit,1.15,52.89,9
Aberdeen City,Goldfinch,1.13,23.68,10
Aberdeen City,Great Tit,1.05,50.76,11
Aberdeen City,Common gull,0.92,14.04,12
Aberdeen City,Carrion crow,0.85,33.9,13
Aberdeen City,Magpie,0.82,42.55,14
Aberdeen City,Dunnock,0.78,41.64,15
Aberdeen City,Waxwing,0.67,4.87,16
Aberdeen City,Greenfinch,0.57,19,17
Aberdeen City,Fieldfare,0.35,6.74,18
Aberdeen City,Jackdaw,0.34,13.48,19
Aberdeen City,Siskin,0.33,8.24,20
Aberdeen City,Herring gull,0.29,10.11,21
Aberdeen City,Collared Dove,0.28,13.53,22
Aberdeen City,Long tailed tit,0.2,5.64,23
Aberdeen City,Tree sparrow,0.15,4.12,24
Aberdeen City,Wren,0.15,10.9,25
Aberdeen City,Mallard,0.1,0.94,26
Aberdeen City,Ring necked parakeet,0.1,2.06,27
Aberdeen City,Black headed gull,0.1,2.06,28
Aberdeen City,Yellowhammer,0.09,2.06,29
Aberdeen City,Song.Thrush,0.09,6.58,30
Aberdeen City,Rook,0.09,3.18,31
Aberdeen City,Brambling,0.06,3.93,32
Aberdeen City,Blackcap,0.06,4.87,33
Aberdeen City,Great spotted woodpecker,0.06,5.06,34
Aberdeen City,Hooded crow,0.05,2.25,35
Aberdeen City,Pheasant,0.04,2.43,36
Aberdeen City,Buzzard,0.04,1.69,37
Aberdeen City,Treecreeper,0.04,3.37,38
Aberdeen City,Bullfinch,0.03,2.06,39
Aberdeen City,Goldcrest,0.03,2.62,40
Aberdeen City,Sparrowhawk,0.02,2.06,41
Aberdeen City,Pied wagtail,0.02,1.12,42
Aberdeen City,Mistle thrush,0.02,1.31,43
Aberdeen City,Grey heron,0.01,0.75,44
Aberdeen City,Marsh tit,0.01,0.19,45
Aberdeen City,Chiffchaff,0.01,0.37,46
Aberdeen City,Kestrel,0.01,0.94,47
Aberdeen City,Jay,0.01,0.19,48
Aberdeen City,Red Kite,0.01,0.56,49
Aberdeen City,Stock dove,0.01,0.56,50
Aberdeen City,Green woodpecker,0.01,0.56,51
Aberdeen City,Moorhen,0.01,0.37,52
Aberdeen City,Redpoll,0.01,0.37,53
Aberdeen City,Lesser spotted woodpecker,0,0.37,54
Aberdeen City,Meadow pipit,0,0.19,55
Aberdeen City,Barn owl,0,0,56
Aberdeen City,Black redstart,0,0,57
Aberdeen City,Corn bunting,0,0,58
