2014,county,species,mean_birds,rank_birds,% gardens,
ESRO,Aberdeen City,House sparrow,5.597,1,67.4,
ESRO,Aberdeen City,Blackbird,2.508,2,84.88,
ESRO,Aberdeen City,Starling,2.268,3,27.14,
ESRO,Aberdeen City,Chaffinch,1.953,4,46.27,
ESRO,Aberdeen City,Feral pigeon,1.866,5,39.3,
ESRO,Aberdeen City,Blue tit,1.769,6,67.03,
ESRO,Aberdeen City,Goldfinch,1.583,7,25.5,
ESRO,Aberdeen City,Woodpigeon,1.297,8,53.19,
ESRO,Aberdeen City,Robin,1.071,9,76.32,
ESRO,Aberdeen City,Magpie,0.849,10,40.44,
ESRO,Aberdeen City,Great tit,0.745,11,37.7,
ESRO,Aberdeen City,Dunnock,0.712,12,40.98,
ESRO,Aberdeen City,Coal tit,0.679,13,34.24,
ESRO,Aberdeen City,Carrion crow,0.639,14,27.27,
ESRO,Aberdeen City,Greenfinch,0.519,15,19.13,
ESRO,Aberdeen City,Jackdaw,0.321,16,12.83,
ESRO,Aberdeen City,Collared dove,0.275,17,12.39,
ESRO,Aberdeen City,Tree sparrow,0.217,18,4.28,
ESRO,Aberdeen City,Herring gull,0.16,19,5.88,
ESRO,Aberdeen City,Common gull,0.139,20,4.01,
ESRO,Aberdeen City,Long tailed tit,0.12,21,2.37,
ESRO,Aberdeen City,Siskin,0.088,22,3.48,
ESRO,Aberdeen City,Wren,0.08,23,7.49,
ESRO,Aberdeen City,Fieldfare,0.064,24,1.34,
ESRO,Aberdeen City,Great spotted woodpecker,0.061,25,5.08,
ESRO,Aberdeen City,Black headed gull,0.056,26,0.8,
ESRO,Aberdeen City,Blackcap,0.037,27,3.48,
ESRO,Aberdeen City,Song thrush,0.032,28,2.94,
ESRO,Aberdeen City,Goldcrest,0.024,29,2.41,
ESRO,Aberdeen City,Sparrowhawk,0.024,30,2.41,
ESRO,Aberdeen City,Pheasant,0.021,31,0.8,
ESRO,Aberdeen City,Rook,0.019,32,0.53,
ESRO,Aberdeen City,Buzzard,0.016,33,1.07,
ESRO,Aberdeen City,Hooded crow,0.016,34,1.07,
ESRO,Aberdeen City,Bullfinch,0.013,35,0.8,
ESRO,Aberdeen City,Redwing,0.013,36,0.8,
ESRO,Aberdeen City,Treecreeper,0.013,37,1.34,
ESRO,Aberdeen City,Lesser spotted woodpecker,0.011,38,0.8,
ESRO,Aberdeen City,Raven,0.011,39,0.53,
ESRO,Aberdeen City,Great black backed gull,0.005,40,0.27,
ESRO,Aberdeen City,Marsh tit,0.005,41,0.27,
ESRO,Aberdeen City,Yellowhammer,0.005,42,0.27,
ESRO,Aberdeen City,Jay,0.003,43,0.27,
ESRO,Aberdeen City,Lesser black backed gull,0.003,44,0.27,
ESRO,Aberdeen City,Mistle thrush,0.003,45,0.27,
ESRO,Aberdeen City,Red Kite,0.003,46,0.27,
ESRO,Aberdeen City,Barn owl,0,47,0,
ESRO,Aberdeen City,Black redstart,0,48,0,
ESRO,Aberdeen City,Brambling,0,49,0,
ESRO,Aberdeen City,Chiffchaff,0,50,0,
ESRO,Aberdeen City,Corn bunting,0,51,0,
ESRO,Aberdeen City,Green woodpecker,0,52,0,
ESRO,Aberdeen City,Grey heron,0,53,0,
ESRO,Aberdeen City,Grey partridge,0,54,0,
ESRO,Aberdeen City,Grey wagtail,0,55,0,
ESRO,Aberdeen City,Kestrel,0,56,0,
ESRO,Aberdeen City,Lapwing,0,57,0,
ESRO,Aberdeen City,Linnet,0,58,0,
ESRO,Aberdeen City,Little owl,0,59,0,
ESRO,Aberdeen City,Mallard,0,60,0,
ESRO,Aberdeen City,Meadow pipit,0,61,0,
ESRO,Aberdeen City,Moorhen,0,62,0,
ESRO,Aberdeen City,Nuthatch,0,63,0,
ESRO,Aberdeen City,Pied wagtail,0,64,0,
ESRO,Aberdeen City,Red legged partridge,0,65,0,
ESRO,Aberdeen City,Redpoll,0,66,0,
ESRO,Aberdeen City,Reed bunting,0,67,0,
ESRO,Aberdeen City,Ring necked parakeet,0,68,0,
ESRO,Aberdeen City,Skylark,0,69,0,
ESRO,Aberdeen City,Stock dove,0,70,0,
ESRO,Aberdeen City,Tawny owl,0,71,0,
ESRO,Aberdeen City,Waxwing,0,72,0,
ESRO,Aberdeen City,Willow tit,0,73,0,
ESRO,Aberdeenshire,House sparrow,7.218,1,69.69,
ESRO,Aberdeenshire,Chaffinch,4.363,2,68.65,
ESRO,Aberdeenshire,Starling,3.972,3,37.89,
ESRO,Aberdeenshire,Blackbird,2.877,4,84.47,
ESRO,Aberdeenshire,Blue tit,2.169,5,68.42,
ESRO,Aberdeenshire,Goldfinch,1.457,6,28.53,
ESRO,Aberdeenshire,Robin,1.27,7,82.1,
ESRO,Aberdeenshire,Great tit,1.236,8,50.59,
ESRO,Aberdeenshire,Tree sparrow,1.2,9,17.23,
ESRO,Aberdeenshire,Coal tit,1.159,10,43.31,
ESRO,Aberdeenshire,Woodpigeon,1.094,11,42.5,
ESRO,Aberdeenshire,Dunnock,0.941,12,47.7,
ESRO,Aberdeenshire,Collared dove,0.834,13,31.35,
ESRO,Aberdeenshire,Greenfinch,0.822,14,27.79,
ESRO,Aberdeenshire,Carrion crow,0.707,15,27.1,
ESRO,Aberdeenshire,Jackdaw,0.415,16,13.45,
ESRO,Aberdeenshire,Magpie,0.357,17,18.35,
ESRO,Aberdeenshire,Long tailed tit,0.264,18,5.13,
ESRO,Aberdeenshire,Great spotted woodpecker,0.236,19,17.96,
ESRO,Aberdeenshire,Feral pigeon,0.235,20,6.09,
ESRO,Aberdeenshire,Pheasant,0.224,21,9.45,
ESRO,Aberdeenshire,Wren,0.193,22,15.76,
ESRO,Aberdeenshire,Siskin,0.186,23,6.62,
ESRO,Aberdeenshire,Yellowhammer,0.101,24,4.31,
ESRO,Aberdeenshire,Rook,0.092,25,2.84,
ESRO,Aberdeenshire,Common gull,0.079,26,1.47,
ESRO,Aberdeenshire,Herring gull,0.072,27,2.73,
ESRO,Aberdeenshire,Song thrush,0.064,28,4.62,
ESRO,Aberdeenshire,Sparrowhawk,0.041,29,4.1,
ESRO,Aberdeenshire,Buzzard,0.029,30,2.21,
ESRO,Aberdeenshire,Bullfinch,0.027,31,1.37,
ESRO,Aberdeenshire,Redpoll,0.026,32,1.05,
ESRO,Aberdeenshire,Treecreeper,0.025,33,2.52,
ESRO,Aberdeenshire,Brambling,0.018,34,1.37,
ESRO,Aberdeenshire,Jay,0.016,35,1.16,
ESRO,Aberdeenshire,Black headed gull,0.014,36,0.21,
ESRO,Aberdeenshire,Blackcap,0.014,37,1.16,
ESRO,Aberdeenshire,Great black backed gull,0.013,38,0.32,
ESRO,Aberdeenshire,Lesser spotted woodpecker,0.013,39,0.95,
ESRO,Aberdeenshire,Grey partridge,0.012,40,0.11,
ESRO,Aberdeenshire,Red legged partridge,0.012,41,0.42,
ESRO,Aberdeenshire,Waxwing,0.011,42,0.21,
ESRO,Aberdeenshire,Red Kite,0.008,43,0.32,
ESRO,Aberdeenshire,Mallard,0.007,44,0.21,
ESRO,Aberdeenshire,Grey heron,0.006,45,0.63,
ESRO,Aberdeenshire,Kestrel,0.004,46,0.42,
ESRO,Aberdeenshire,Mistle thrush,0.004,47,0.42,
ESRO,Aberdeenshire,Hooded crow,0.003,48,0.32,
ESRO,Aberdeenshire,Moorhen,0.003,49,0.11,
ESRO,Aberdeenshire,Raven,0.003,50,0.21,
ESRO,Aberdeenshire,Barn owl,0.002,51,0.11,
ESRO,Aberdeenshire,Fieldfare,0.002,52,0.21,
ESRO,Aberdeenshire,Goldcrest,0.002,53,0.21,
ESRO,Aberdeenshire,Linnet,0.002,54,0.21,
ESRO,Aberdeenshire,Grey wagtail,0.001,55,0.11,
ESRO,Aberdeenshire,Meadow pipit,0.001,56,0.11,
ESRO,Aberdeenshire,Nuthatch,0.001,57,0.11,
ESRO,Aberdeenshire,Pied wagtail,0.001,58,0.11,
ESRO,Aberdeenshire,Black redstart,0,59,0,
ESRO,Aberdeenshire,Chiffchaff,0,60,0,
ESRO,Aberdeenshire,Corn bunting,0,61,0,
ESRO,Aberdeenshire,Green woodpecker,0,62,0,
ESRO,Aberdeenshire,Lapwing,0,63,0,
ESRO,Aberdeenshire,Lesser black backed gull,0,64,0,
ESRO,Aberdeenshire,Little owl,0,65,0,
ESRO,Aberdeenshire,Marsh tit,0,66,0,
ESRO,Aberdeenshire,Redwing,0,67,0,
ESRO,Aberdeenshire,Reed bunting,0,68,0,
ESRO,Aberdeenshire,Ring necked parakeet,0,69,0,
ESRO,Aberdeenshire,Skylark,0,70,0,
ESRO,Aberdeenshire,Stock dove,0,71,0,
ESRO,Aberdeenshire,Tawny owl,0,72,0,
ESRO,Aberdeenshire,Willow tit,0,73,0,
ESRO,Angus,House sparrow,8.282,1,72.63,
ESRO,Angus,Starling,3.593,2,39.87,
ESRO,Angus,Chaffinch,3.175,3,59.91,
ESRO,Angus,Blackbird,2.933,4,86.85,
ESRO,Angus,Blue tit,2.565,5,67.89,
ESRO,Angus,Goldfinch,1.858,6,28.23,
ESRO,Angus,Woodpigeon,1.731,7,62.72,
ESRO,Angus,Coal tit,1.19,8,42.67,
ESRO,Angus,Great tit,1.168,9,45.04,
ESRO,Angus,Robin,1.125,10,78.23,
ESRO,Angus,Dunnock,1.082,11,48.49,
ESRO,Angus,Collared dove,1.034,12,38.36,
ESRO,Angus,Feral pigeon,0.677,13,14.52,
ESRO,Angus,Greenfinch,0.619,14,21.12,
ESRO,Angus,Carrion crow,0.614,15,24.75,
ESRO,Angus,Tree sparrow,0.472,16,8.58,
ESRO,Angus,Long tailed tit,0.455,17,7.54,
ESRO,Angus,Siskin,0.281,18,7.59,
ESRO,Angus,Pheasant,0.277,19,13.2,
ESRO,Angus,Jackdaw,0.271,20,11.88,
ESRO,Angus,Great spotted woodpecker,0.254,21,18.81,
ESRO,Angus,Herring gull,0.182,22,5.28,
ESRO,Angus,Yellowhammer,0.178,23,8.58,
ESRO,Angus,Wren,0.172,24,14.85,
ESRO,Angus,Grey partridge,0.106,25,0.99,
ESRO,Angus,Song thrush,0.089,26,5.94,
ESRO,Angus,Rook,0.073,27,1.98,
ESRO,Angus,Common gull,0.069,28,0.99,
ESRO,Angus,Black headed gull,0.063,29,0.66,
ESRO,Angus,Bullfinch,0.063,30,3.96,
ESRO,Angus,Sparrowhawk,0.056,31,5.61,
ESRO,Angus,Magpie,0.043,32,2.8,
ESRO,Angus,Waxwing,0.036,33,0.33,
ESRO,Angus,Redpoll,0.026,34,0.66,
ESRO,Angus,Jay,0.02,35,1.98,
ESRO,Angus,Kestrel,0.013,36,1.32,
ESRO,Angus,Brambling,0.01,37,0.99,
ESRO,Angus,Buzzard,0.01,38,0.66,
ESRO,Angus,Moorhen,0.01,39,0.33,
ESRO,Angus,Treecreeper,0.01,40,0.99,
ESRO,Angus,Grey heron,0.007,41,0.66,
ESRO,Angus,Grey wagtail,0.007,42,0.66,
ESRO,Angus,Lesser spotted woodpecker,0.007,43,0.33,
ESRO,Angus,Mistle thrush,0.007,44,0.66,
ESRO,Angus,Fieldfare,0.003,45,0.33,
ESRO,Angus,Barn owl,0,46,0,
ESRO,Angus,Black redstart,0,47,0,
ESRO,Angus,Blackcap,0,48,0,
ESRO,Angus,Chiffchaff,0,49,0,
ESRO,Angus,Corn bunting,0,50,0,
ESRO,Angus,Goldcrest,0,51,0,
ESRO,Angus,Great black backed gull,0,52,0,
ESRO,Angus,Green woodpecker,0,53,0,
ESRO,Angus,Hooded crow,0,54,0,
ESRO,Angus,Lapwing,0,55,0,
ESRO,Angus,Lesser black backed gull,0,56,0,
ESRO,Angus,Linnet,0,57,0,
ESRO,Angus,Little owl,0,58,0,
ESRO,Angus,Mallard,0,59,0,
ESRO,Angus,Marsh tit,0,60,0,
ESRO,Angus,Meadow pipit,0,61,0,
ESRO,Angus,Nuthatch,0,62,0,
ESRO,Angus,Pied wagtail,0,63,0,
ESRO,Angus,Raven,0,64,0,
ESRO,Angus,Red Kite,0,65,0,
ESRO,Angus,Red legged partridge,0,66,0,
ESRO,Angus,Redwing,0,67,0,
ESRO,Angus,Reed bunting,0,68,0,
ESRO,Angus,Ring necked parakeet,0,69,0,
ESRO,Angus,Skylark,0,70,0,
ESRO,Angus,Stock dove,0,71,0,
ESRO,Angus,Tawny owl,0,72,0,
ESRO,Angus,Willow tit,0,73,0,
NIRO,Antrim,House sparrow,4.759,1,63.12,
NIRO,Antrim,Starling,4.318,2,57.53,
NIRO,Antrim,Chaffinch,2.966,3,63.59,
NIRO,Antrim,Blue tit,2.104,4,72.36,
NIRO,Antrim,Blackbird,2.089,5,82.61,
NIRO,Antrim,Goldfinch,1.934,6,30.2,
NIRO,Antrim,Great tit,1.554,7,57.76,
NIRO,Antrim,Collared dove,1.46,8,52.8,
NIRO,Antrim,Magpie,1.39,9,60.87,
NIRO,Antrim,Robin,1.277,10,81.13,
NIRO,Antrim,Coal tit,1.276,11,51.86,
NIRO,Antrim,Feral pigeon,1.025,12,22.86,
NIRO,Antrim,Woodpigeon,0.893,13,38.12,
NIRO,Antrim,Jackdaw,0.751,14,21.66,
NIRO,Antrim,Hooded crow,0.72,15,19.61,
NIRO,Antrim,Long tailed tit,0.638,16,14.98,
NIRO,Antrim,Dunnock,0.586,17,34.47,
NIRO,Antrim,Greenfinch,0.538,18,20.81,
NIRO,Antrim,Rook,0.258,19,5.29,
NIRO,Antrim,Redpoll,0.235,20,6.98,
NIRO,Antrim,Wren,0.233,21,19.13,
NIRO,Antrim,Siskin,0.231,22,7.58,
NIRO,Antrim,Song thrush,0.217,23,16.73,
NIRO,Antrim,Tree sparrow,0.103,24,1.68,
NIRO,Antrim,Blackcap,0.097,25,6.74,
NIRO,Antrim,Pied wagtail,0.084,26,5.78,
NIRO,Antrim,Pheasant,0.065,27,2.89,
NIRO,Antrim,Bullfinch,0.053,28,3.49,
NIRO,Antrim,Black headed gull,0.047,29,1.08,
NIRO,Antrim,Jay,0.04,30,2.65,
NIRO,Antrim,Sparrowhawk,0.024,31,2.41,
NIRO,Antrim,Fieldfare,0.022,32,0.72,
NIRO,Antrim,Goldcrest,0.018,33,1.56,
NIRO,Antrim,Redwing,0.017,34,0.36,
NIRO,Antrim,Herring gull,0.013,35,0.72,
NIRO,Antrim,Mistle thrush,0.012,36,1.08,
NIRO,Antrim,Common gull,0.011,37,0.6,
NIRO,Antrim,Ring necked parakeet,0.01,38,0.12,
NIRO,Antrim,Grey heron,0.008,39,0.84,
NIRO,Antrim,Yellowhammer,0.008,40,0.36,
NIRO,Antrim,Brambling,0.006,41,0.48,
NIRO,Antrim,Buzzard,0.006,42,0.6,
NIRO,Antrim,Grey wagtail,0.006,43,0.6,
NIRO,Antrim,Chiffchaff,0.005,44,0.12,
NIRO,Antrim,Raven,0.005,45,0.36,
NIRO,Antrim,Treecreeper,0.005,46,0.48,
NIRO,Antrim,Grey partridge,0.002,47,0.12,
NIRO,Antrim,Lesser black backed gull,0.002,48,0.12,
NIRO,Antrim,Linnet,0.002,49,0.12,
NIRO,Antrim,Great spotted woodpecker,0.001,50,0.12,
NIRO,Antrim,Moorhen,0.001,51,0.12,
NIRO,Antrim,Red Kite,0.001,52,0.12,
NIRO,Antrim,Stock dove,0.001,53,0.12,
NIRO,Antrim,Barn owl,0,54,0,
NIRO,Antrim,Black redstart,0,55,0,
NIRO,Antrim,Carrion crow,0,56,0,
NIRO,Antrim,Corn bunting,0,57,0,
NIRO,Antrim,Great black backed gull,0,58,0,
NIRO,Antrim,Green woodpecker,0,59,0,
NIRO,Antrim,Kestrel,0,60,0,
NIRO,Antrim,Lapwing,0,61,0,
NIRO,Antrim,Lesser spotted woodpecker,0,62,0,
NIRO,Antrim,Little owl,0,63,0,
NIRO,Antrim,Mallard,0,64,0,
NIRO,Antrim,Marsh tit,0,65,0,
NIRO,Antrim,Meadow pipit,0,66,0,
NIRO,Antrim,Nuthatch,0,67,0,
NIRO,Antrim,Red legged partridge,0,68,0,
NIRO,Antrim,Reed bunting,0,69,0,
NIRO,Antrim,Skylark,0,70,0,
