Old County and GOR etc,Species,Mean,Rank,% gardens,
Aberdeen City,House_sparrow,5.40,1,69.8,
Aberdeen City,Blackbird,3.02,2,91.8,
Aberdeen City,Starling,2.42,3,34.4,
Aberdeen City,Chaffinch,2.04,4,47.4,
Aberdeen City,Blue_tit,2.00,5,73.2,
Aberdeen City,Woodpigeon,1.64,6,67.2,
Aberdeen City,Feral_pigeon,1.54,7,36.5,
Aberdeen City,Robin,1.41,8,88.8,
Aberdeen City,Great_tit,1.18,9,49.3,
Aberdeen City,Goldfinch,1.08,10,24.4,
Aberdeen City,Magpie,0.99,11,49.5,
Aberdeen City,Dunnock,0.86,12,44.7,
Aberdeen City,Coal_tit,0.82,13,39.9,
Aberdeen City,Carrion_crow,0.64,14,30.0,
Aberdeen City,Greenfinch,0.61,15,19.8,
Aberdeen City,Common_gull,0.56,16,15.7,
Aberdeen City,Jackdaw,0.45,17,17.6,
Aberdeen City,Long_tailed_tit,0.29,18,8.1,
Aberdeen City,Collared_dove,0.26,19,13.0,
Aberdeen City,Rook,0.21,20,6.5,
Aberdeen City,Wren,0.19,21,16.9,
Aberdeen City,Bullfinch,0.13,22,6.1,
Aberdeen City,Herring_gull,0.12,23,6.1,
Aberdeen City,Great_spotted_woodpecker,0.11,24,9.2,
Aberdeen City,Siskin,0.08,25,3.4,
Aberdeen City,Tree_sparrow,0.07,26,2.2,
Aberdeen City,Blackcap,0.05,27,3.6,
Aberdeen City,Jay,0.04,28,2.4,
Aberdeen City,Song_thrush,0.02,29,2.2,
Aberdeen City,Redwing,0.02,30,0.7,
Aberdeen City,Fieldfare,0.02,31,1.2,
Aberdeen City,Sparrowhawk,0.01,32,1.4,
Aberdeen City,Pheasant,0.01,33,1.2,
Aberdeen City,Buzzard,0.01,34,0.7,
Aberdeen City,Black_headed_gull ,0.01,35,0.5,
Aberdeen City,Hooded_crow,0.01,36,0.7,
Aberdeen City,Yellowhammer,0.01,37,0.5,
Aberdeen City,Brambling,0.00,38,0.5,
Aberdeen City,Mistle_thrush,0.00,39,0.2,
Aberdeen City,Stock_dove,0.00,40,0.2,
Aberdeen City,Treecreeper,0.00,41,0.5,
Aberdeen City,Raven,0.00,42,0.2,
Aberdeen City,Goldcrest,0.00,43,0.2,
Aberdeen City,Kestrel,0.00,44,0.2,
Aberdeen City,Lesser_spotted_woodpecker,0.00,45,0.2,
Aberdeen City,Barn_owl,0.00,46,0.0,
Aberdeen City,Black_redstart,0.00,47,0.0,
Aberdeen City,Chiffchaff,0.00,48,0.0,
