county,species,Mean,Rank,% gardens
Aberdeen City,House_sparrow ,6.43,1,77.24
Aberdeen City,Blackbird ,2.75,2,91.41
Aberdeen City,Starling ,2.54,3,37.03
Aberdeen City,Feral_pigeon ,2.14,4,43.99
Aberdeen City,Blue_tit ,1.98,5,80.14
Aberdeen City,Chaffinch ,1.51,6,42.40
Aberdeen City,Robin ,1.43,7,89.78
Aberdeen City,Woodpigeon ,1.16,8,50.90
Aberdeen City,Magpie ,1.06,9,51.34
Aberdeen City,Common_gull ,1.01,10,22.09
Aberdeen City,Goldfinch ,0.90,11,22.80
Aberdeen City,Herring_gull ,0.77,12,20.93
Aberdeen City,Great_tit ,0.77,13,38.64
Aberdeen City,Carrion_crow ,0.76,14,33.97
Aberdeen City,Dunnock ,0.74,15,42.22
Aberdeen City,Tree_sparrow ,0.56,16,9.88
Aberdeen City,Coal_tit ,0.54,17,31.48
Aberdeen City,Fieldfare ,0.53,18,10.47
Aberdeen City,Jackdaw ,0.45,19,16.51
Aberdeen City,Greenfinch ,0.45,20,15.47
Aberdeen City,Redwing ,0.42,21,7.56
Aberdeen City,Long_tailed_tit ,0.34,22,6.44
Aberdeen City,Collared_dove ,0.26,23,13.77
Aberdeen City,Blackcap ,0.22,24,16.86
Aberdeen City,Wren ,0.22,25,19.04
Aberdeen City,Bullfinch ,0.21,26,9.88
Aberdeen City,Great_spotted_woodpecker ,0.11,27,9.88
Aberdeen City,Rook ,0.11,28,4.07
Aberdeen City,Song_thrush ,0.06,29,4.08
Aberdeen City,Black_headed_gull ,0.06,30,1.16
Aberdeen City,Jay ,0.06,31,2.91
Aberdeen City,Sparrowhawk ,0.06,32,5.81
Aberdeen City,Goldcrest ,0.05,33,3.49
Aberdeen City,Pied_wagtail ,0.04,34,1.74
Aberdeen City,Lesser_black_backed_gull ,0.04,35,1.75
Aberdeen City,Buzzard ,0.03,36,2.91
Aberdeen City,Siskin ,0.03,37,1.74
Aberdeen City,Lesser_spotted_woodpecker ,0.03,38,2.33
Aberdeen City,Waxwing,0.03,39,0.58
Aberdeen City,Hooded_crow ,0.02,40,1.16
Aberdeen City,Treecreeper ,0.02,41,2.33
Aberdeen City,Mistle_thrush ,0.02,42,0.58
Aberdeen City,Pheasant ,0.02,43,1.74
Aberdeen City,Yellowhammer ,0.02,44,0.58
Aberdeen City,Raven ,0.01,45,0.58
Aberdeen City,Grey_heron ,0.01,46,1.16
Aberdeen City,Kestrel ,0.01,47,0.58
Aberdeen City,Grey_wagtail ,0.01,48,0.58
Aberdeen City,Red_Kite ,0.01,49,0.58
Aberdeen City,Barn_owl ,0.00,50,0.00
Aberdeen City,Black_redstart,0.00,51,0.00
Aberdeen City,Brambling ,0.00,52,0.00
Aberdeen City,Chiffchaff ,0.00,53,0.00
Aberdeen City,Corn_bunting,0.00,54,0.00
Aberdeen City,Great_black_backed_gull ,0.00,55,0.00
Aberdeen City,Green_woodpecker ,0.00,56,0.00
Aberdeen City,Grey_partridge ,0.00,57,0.00
Aberdeen City,Lapwing,0.00,58,0.00
Aberdeen City,Linnet ,0.00,59,0.00
Aberdeen City,Little_owl ,0.00,60,0.00
Aberdeen City,Mallard ,0.00,61,0.00
Aberdeen City,Marsh_tit ,0.00,62,0.00
Aberdeen City,Meadow_pipit,0.00,63,0.00
Aberdeen City,Moorhen ,0.00,64,0.00
Aberdeen City,Nuthatch ,0.00,65,0.00
Aberdeen City,Red_legged_partridge ,0.00,66,0.00
Aberdeen City,Redpoll ,0.00,67,0.00
Aberdeen City,Reed_bunting ,0.00,68,0.00
Aberdeen City,Ring_necked_parakeet ,0.00,69,0.00
Aberdeen City,Skylark,0.00,70,0.00
Aberdeen City,Stock_dove ,0.00,71,0.00
Aberdeen City,Tawny_owl ,0.00,72,0.00
Aberdeen City,Willow_tit ,0.00,73,0.00
Aberdeenshire,House_sparrow ,8.04,1,79.79
Aberdeenshire,Starling ,4.73,2,55.15
Aberdeenshire,Chaffinch ,3.57,3,68.32
Aberdeenshire,Blackbird ,3.45,4,93.83
Aberdeenshire,Tree_sparrow ,2.71,5,33.52
Aberdeenshire,Blue_tit ,2.34,6,78.06
Aberdeenshire,Robin ,1.82,7,94.79
Aberdeenshire,Goldfinch ,1.39,8,26.34
Aberdeenshire,Great_tit ,1.34,9,56.53
Aberdeenshire,Carrion_crow ,1.29,10,36.17
Aberdeenshire,Woodpigeon ,1.25,11,46.10
Aberdeenshire,Dunnock ,1.02,12,49.34
Aberdeenshire,Collared_dove ,0.96,13,38.15
Aberdeenshire,Coal_tit ,0.95,14,42.31
Aberdeenshire,Greenfinch ,0.80,15,28.57
Aberdeenshire,Pheasant ,0.64,16,25.46
Aberdeenshire,Jackdaw ,0.63,17,18.60
Aberdeenshire,Magpie ,0.45,18,22.67
Aberdeenshire,Long_tailed_tit ,0.43,19,8.14
Aberdeenshire,Great_spotted_woodpecker ,0.42,20,31.04
Aberdeenshire,Feral_pigeon ,0.40,21,10.57
Aberdeenshire,Rook ,0.38,22,8.75
Aberdeenshire,Wren ,0.37,23,26.97
Aberdeenshire,Herring_gull ,0.31,24,9.12
Aberdeenshire,Fieldfare ,0.26,25,5.02
Aberdeenshire,Common_gull ,0.26,26,5.95
Aberdeenshire,Yellowhammer ,0.22,27,8.97
Aberdeenshire,Siskin ,0.19,28,8.18
Aberdeenshire,Buzzard ,0.15,29,10.04
Aberdeenshire,Song_thrush ,0.13,30,9.09
Aberdeenshire,Treecreeper ,0.10,31,8.57
Aberdeenshire,Redwing ,0.10,32,2.23
Aberdeenshire,Black_headed_gull ,0.07,33,1.30
Aberdeenshire,Bullfinch ,0.07,34,3.35
Aberdeenshire,Jay ,0.06,35,3.53
Aberdeenshire,Sparrowhawk ,0.05,36,4.84
Aberdeenshire,Goldcrest ,0.04,37,3.53
Aberdeenshire,Mallard ,0.04,38,0.74
Aberdeenshire,Brambling ,0.04,39,2.42
Aberdeenshire,Red_legged_partridge ,0.04,40,1.12
Aberdeenshire,Corn_bunting,0.03,41,0.74
Aberdeenshire,Red_Kite ,0.03,42,1.67
Aberdeenshire,Blackcap ,0.03,43,2.42
Aberdeenshire,Lapwing,0.03,44,0.37
Aberdeenshire,Lesser_spotted_woodpecker ,0.02,45,1.68
Aberdeenshire,Moorhen ,0.02,46,0.74
Aberdeenshire,Grey_heron ,0.02,47,1.67
Aberdeenshire,Mistle_thrush ,0.01,48,1.49
Aberdeenshire,Pied_wagtail ,0.01,49,1.12
Aberdeenshire,Kestrel ,0.01,50,0.93
Aberdeenshire,Hooded_crow ,0.01,51,0.56
Aberdeenshire,Lesser_black_backed_gull ,0.01,52,0.19
Aberdeenshire,Linnet ,0.01,53,0.37
Aberdeenshire,Raven ,0.00,54,0.19
Aberdeenshire,Stock_dove ,0.00,55,0.19
