"ID","Name","Latitude","Longitude","Region","Country","Continent"
"3","SOUTHAMPTON AIRPORT (3)","50.9503","-1.3567","","ENGLAND","EUROPE"
"5","LONDON CITY AIRPORT (5)","51.5048","0.0580","","ENGLAND","EUROPE"
"6","LYDD (6)","50.9561","0.9392","","ENGLAND","EUROPE"
"7","CRANFIELD (7)","52.0703","-0.6267","","ENGLAND","EUROPE"
"8","BELFAST HARBOUR (8)","54.6130","-5.8770","","NORTHERN IRELAND","EUROPE"
"14","CARLISLE AIRPORT (14)","54.9375","-2.8092","","",""
"22","HUMBERSIDE AIRPORT (22)","53.5797","-0.3472","","ENGLAND","EUROPE"
"25","LEEDS BRADFORD INTERNATIONAL AIRPORT (25)","53.8658","-1.6606","","ENGLAND","EUROPE"
"26","LIVERPOOL JOHN LENNON AIRPORT (26)","53.3336","-2.8500","","ENGLAND","EUROPE"
"33","SCATSTA (33)","60.4322","-1.2992","","",""
"34","SHEFFIELD AIRPORT (34)","53.3944","-1.3886","","ENGLAND","EUROPE"
"37","DURHAM TEES VALLEY AIRPORT (37)","54.5125","-1.4235","","ENGLAND","EUROPE"
"98","WARTON (98)","53.7446","-2.8854","","",""
"349","DUNGENESS B (349)","50.9134","0.9597","","",""
"3002","BALTASOUND (3002)","60.7490","-0.8540","Orkney & Shetland","SCOTLAND","EUROPE"
"3005","LERWICK (S. SCREEN) (3005)","60.1390","-1.1830","Orkney & Shetland","SCOTLAND","EUROPE"
"3006","SELLA NESS (3006)","60.4470","-1.2770","","SCOTLAND","EUROPE"
"3008","FAIR ISLE (3008)","59.5300","-1.6300","Orkney & Shetland","",""
"3017","KIRKWALL (3017)","58.9540","-2.9000","Orkney & Shetland","SCOTLAND","EUROPE"
"3023","SOUTH UIST RANGE (3023)","57.3580","-7.3970","Highland & Eilean Siar","SCOTLAND","EUROPE"
"3026","STORNOWAY (3026)","58.2140","-6.3250","Highland & Eilean Siar","SCOTLAND","EUROPE"
"3031","LOCH GLACARNOCH SAWS (3031)","57.7250","-4.8960","Highland & Eilean Siar","SCOTLAND","EUROPE"
"3034","AULTBEA (3034)","57.8590","-5.6360","Highland & Eilean Siar","SCOTLAND","EUROPE"
"3037","SKYE/LUSA (SAMOS) (3037)","57.2570","-5.8090","Highland & Eilean Siar","SCOTLAND","EUROPE"
"3039","BEALACH NA BA (3039)","57.4200","-5.6900","Highland & Eilean Siar","",""
"3041","AONACH MOR (3041)","56.8200","-4.9700","Highland & Eilean Siar","",""
"3044","ALTNAHARRA SAWS (3044)","58.2880","-4.4420","Highland & Eilean Siar","SCOTLAND","EUROPE"
"3047","TULLOCH BRIDGE (3047)","56.8670","-4.7080","Highland & Eilean Siar","SCOTLAND","EUROPE"
