"","dref","datetime_end","y","m","d","h","min","night","id","met_domain_name","src_id","minAT","maxAT","meanAT"
"1",41944,"2014-11-01 09:00",2014,11,1,9,0,TRUE,4036," NCM",513,9.9,16.1,13
"2",41944,"2014-11-01 09:00",2014,11,1,9,0,TRUE,4045," AWSDLY",516,11.1,17.5,14.3
"3",41944,"2014-11-01 09:00",2014,11,1,9,0,TRUE,4058," NCM",56958,10.6,16.3,13.45
"4",41944,"2014-11-01 09:00",2014,11,1,9,0,TRUE,4065," AWSDLY",529,12.4,16.5,14.45
"5",41944,"2014-11-01 09:00",2014,11,1,9,0,TRUE,4077," AWSDLY",534,12,16.6,14.3
"6",41944,"2014-11-01 21:00",2014,11,1,21,0,FALSE,4036," NCM",513,11,13,12
"7",41944,"2014-11-01 21:00",2014,11,1,21,0,FALSE,4045," AWSDLY",516,12.4,15,13.7
"8",41944,"2014-11-01 21:00",2014,11,1,21,0,FALSE,4058," NCM",56958,10.6,13.3,11.95
"9",41944,"2014-11-01 21:00",2014,11,1,21,0,FALSE,4065," AWSDLY",529,11.9,15.2,13.55
"10",41944,"2014-11-01 21:00",2014,11,1,21,0,FALSE,4077," AWSDLY",534,11.7,15.8,13.75
"11",41945,"2014-11-02 09:00",2014,11,2,9,0,TRUE,4036," NCM",513,9.7,12.8,11.25
"12",41945,"2014-11-02 09:00",2014,11,2,9,0,TRUE,4045," AWSDLY",516,10.8,14.2,12.5
"13",41945,"2014-11-02 09:00",2014,11,2,9,0,TRUE,4058," NCM",56958,10.2,12.9,11.55
"14",41945,"2014-11-02 09:00",2014,11,2,9,0,TRUE,4065," AWSDLY",529,11.5,14.1,12.8
"15",41945,"2014-11-02 09:00",2014,11,2,9,0,TRUE,4077," AWSDLY",534,12,13.6,12.8
"16",41945,"2014-11-02 21:00",2014,11,2,21,0,FALSE,4036," NCM",513,6.7,11.2,8.95
"17",41945,"2014-11-02 21:00",2014,11,2,21,0,FALSE,4045," AWSDLY",516,7.1,13.1,10.1
"18",41945,"2014-11-02 21:00",2014,11,2,21,0,FALSE,4058," NCM",56958,7.2,11.4,9.3
"19",41945,"2014-11-02 21:00",2014,11,2,21,0,FALSE,4065," AWSDLY",529,7,13,10
"20",41945,"2014-11-02 21:00",2014,11,2,21,0,FALSE,4077," AWSDLY",534,7.9,12.9,10.4
"21",41946,"2014-11-03 09:00",2014,11,3,9,0,TRUE,4036," NCM",513,5.7,7.5,6.6
"22",41946,"2014-11-03 09:00",2014,11,3,9,0,TRUE,4045," AWSDLY",516,6.7,8.7,7.7
"23",41946,"2014-11-03 09:00",2014,11,3,9,0,TRUE,4058," NCM",56958,5.8,8.1,6.95
"24",41946,"2014-11-03 09:00",2014,11,3,9,0,TRUE,4065," AWSDLY",529,6.8,8.9,7.85
"25",41946,"2014-11-03 09:00",2014,11,3,9,0,TRUE,4077," AWSDLY",534,7.5,8.8,8.15
