ob_end_time, id_type, id, ob_hour_count, version_num, met_domain_name, src_id, rec_st_ind, max_air_temp, min_air_temp, min_grss_temp, min_conc_temp, max_air_temp_q, min_air_temp_q, min_grss_temp_q, min_conc_temp_q, meto_stmp_time, midas_stmp_etime, max_air_temp_j, min_air_temp_j, min_grss_temp_j, min_conc_temp_j
2015-01-01 09:00, DCNN, 4036, 12, 1, NCM, 513, 1011, 9.4, 6.7, 5.1, 4.2, 1, 1, 1, 1, 2015-01-01 08:58, 0, , , ,
2015-01-01 09:00, DCNN, 4045, 12, 1, AWSDLY, 516, 1011, 10.7, 8, 5.2, , 1, 1, 1, , 2015-01-01 09:04, 0, , , ,
2015-01-01 09:00, DCNN, 4058, 12, 1, NCM, 56958, 1011, 10.2, 7, 5.9, , 1, 1, 1, , 2015-01-01 08:59, 0, , , ,
2015-01-01 09:00, DCNN, 4065, 12, 1, AWSDLY, 529, 1011, 10, 6, 3.6, , 1, 1, 1, , 2015-01-01 09:03, 0, , , ,
2015-01-01 09:00, DCNN, 4077, 12, 1, AWSDLY, 534, 1011, 9.6, 4.1, 2.1, 1.7, 1, 1, 1, 1, 2015-01-01 08:58, 0, , , ,
2015-01-01 21:00, DCNN, 4036, 12, 1, NCM, 513, 1011, 11.4, 9.3, , , 1, 1, , , 2015-01-01 20:59, 0, , , ,
2015-01-01 21:00, DCNN, 4045, 12, 1, AWSDLY, 516, 1011, 12.5, 10.7, , , 1, 1, , , 2015-01-01 21:02, 0, , , ,
2015-01-01 21:00, DCNN, 4058, 12, 1, NCM, 56958, 1011, 11.6, 9.9, , , 1, 1, , , 2015-01-01 20:56, 0, , , ,
2015-01-01 21:00, DCNN, 4065, 12, 1, AWSDLY, 529, 1011, 14, 8.3, , , 1, 1, , , 2015-01-01 21:03, 0, , , ,
2015-01-01 21:00, DCNN, 4077, 12, 1, AWSDLY, 534, 1011, 13.7, 9.1, , , 1, 1, , , 2015-01-01 20:58, 0, , , ,
2015-01-02 09:00, DCNN, 4036, 12, 1, NCM, 513, 1011, 11.9, 4, 2.5, 2.2, 1, 1, 1, 1, 2015-01-02 08:57, 0, , , ,
2015-01-02 09:00, DCNN, 4045, 12, 1, AWSDLY, 516, 1011, 12.8, 4.6, 1.8, , 1, 1, 1, , 2015-01-02 09:04, 0, , , ,
2015-01-02 09:00, DCNN, 4058, 12, 1, NCM, 56958, 1011, 11.9, 3.7, 2.3, , 1, 1, 1, , 2015-01-02 08:57, 0, , , ,
2015-01-02 09:00, DCNN, 4065, 12, 1, AWSDLY, 529, 1011, 14, 5.5, 4.4, , 1, 1, 1, , 2015-01-02 09:07, 0, , , ,
2015-01-02 09:00, DCNN, 4077, 12, 1, AWSDLY, 534, 1011, 13.7, 5.4, 3.6, 2.9, 1, 1, 1, 1, 2015-01-02 08:58, 0, , , ,
2015-01-02 21:00, DCNN, 4036, 12, 1, NCM, 513, 1011, 5, 3, , , 1, 1, , , 2015-01-02 20:59, 0, , , ,
2015-01-02 21:00, DCNN, 4045, 12, 1, AWSDLY, 516, 1011, 6.4, 4.1, , , 1, 1, , , 2015-01-02 21:04, 0, , , ,
2015-01-02 21:00, DCNN, 4058, 12, 1, NCM, 56958, 1011, 5.1, 2.7, , , 1, 1, , , 2015-01-02 20:59, 0, , , ,
2015-01-02 21:00, DCNN, 4065, 12, 1, AWSDLY, 529, 1011, 6.9, 4.1, , , 1, 1, , , 2015-01-02 21:07, 0, , , ,
2015-01-02 21:00, DCNN, 4077, 12, 1, AWSDLY, 534, 1011, 7, 4.2, , , 1, 1, , , 2015-01-02 20:58, 0, , , ,
2015-01-03 09:00, DCNN, 4036, 12, 1, NCM, 513, 1011, 4.5, 2.5, 1.3, .8, 1, 1, 1, 1, 2015-01-03 08:58, 0, , , ,
2015-01-03 09:00, DCNN, 4045, 12, 1, AWSDLY, 516, 1011, 4.8, 3.4, .5, , 1, 1, 1, , 2015-01-03 09:02, 0, , , ,
2015-01-03 09:00, DCNN, 4058, 12, 1, NCM, 56958, 1011, 4.3, 2.4, 1.5, , 1, 1, 1, , 2015-01-03 08:56, 0, , , ,
2015-01-03 09:00, DCNN, 4065, 12, 1, AWSDLY, 529, 1011, 6, 1.5, -.7, , 1, 1, 1, , 2015-01-03 09:07, 0, , , ,
2015-01-03 09:00, DCNN, 4077, 12, 1, AWSDLY, 534, 1011, 5.6, 3.3, .6, .4, 1, 1, 1, 1, 2015-01-03 08:58, 0, , , ,
2015-01-03 21:00, DCNN, 4036, 12, 1, NCM, 513, 1011, 3.8, .2, , , 1, 1, , , 2015-01-03 20:57, 0, , , ,
2015-01-03 21:00, DCNN, 4045, 12, 1, AWSDLY, 516, 1011, 4.9, 1.8, , , 1, 1, , , 2015-01-03 21:03, 0, , , ,
2015-01-03 21:00, DCNN, 4058, 12, 1, NCM, 56958, 1011, 3.2, .6, , , 1, 1, , , 2015-01-03 20:59, 0, , , ,
2015-01-03 21:00, DCNN, 4065, 12, 1, AWSDLY, 529, 1011, 4.4, 1.7, , , 1, 1, , , 2015-01-03 21:02, 0, , , ,
2015-01-03 21:00, DCNN, 4077, 12, 1, AWSDLY, 534, 1011, 5.6, .8, , , 1, 1, , , 2015-01-03 20:57, 0, , , ,
2015-01-04 09:00, DCNN, 4036, 12, 1, NCM, 513, 1011, 1.1, -2.2, -5.4, -4.2, 1, 1, 1, 1, 2015-01-04 08:59, 0, , , ,
2015-01-04 09:00, DCNN, 4045, 12, 0, AWSDLY, 516, 1012, 1.8, -2.8, -7.3, , 151, 1, 1, , 2015-01-04 09:04, 0, , , ,
2015-01-04 09:00, DCNN, 4045, 12, 1, AWSDLY, 516, 1011, 1.9, -2.8, -7.3, , 1501, 1, 1, , 2015-01-04 09:04, 0, , , ,
2015-01-04 09:00, DCNN, 4058, 12, 1, NCM, 56958, 1011, 1.3, -.5, -4.6, , 1, 1, 1, , 2015-01-04 08:59, 0, , , ,
2015-01-04 09:00, DCNN, 4065, 12, 1, AWSDLY, 529, 1011, 1.9, -1.6, -5.1, , 1, 1, 1, , 2015-01-04 09:04, 0, , , ,
2015-01-04 09:00, DCNN, 4077, 12, 1, AWSDLY, 534, 1011, 1.2, -1.9, -6.6, -3.9, 1, 1, 1, 1, 2015-01-04 08:58, 0, , , ,
2015-01-04 21:00, DCNN, 4036, 12, 1, NCM, 513, 1011, 3.8, -.7, , , 1, 1, , , 2015-01-04 20:57, 0, , , ,
2015-01-04 21:00, DCNN, 4045, 12, 1, AWSDLY, 516, 1011, 5.1, -2.8, , , 1, 1, , , 2015-01-04 21:02, 0, , , ,
2015-01-04 21:00, DCNN, 4058, 12, 1, NCM, 56958, 1011, 5, -1, , , 1, 1, , , 2015-01-04 20:58, 0, , , ,
2015-01-04 21:00, DCNN, 4065, 12, 1, AWSDLY, 529, 1011, 6.6, -1.2, , , 1, 1, , , 2015-01-04 21:04, 0, , , ,
2015-01-04 21:00, DCNN, 4077, 12, 1, AWSDLY, 534, 1011, 5.6, .3, , , 1, 1, , , 2015-01-04 20:57, 0, , , ,
2015-01-05 09:00, DCNN, 4036, 12, 1, NCM, 513, 1011, 4.6, -.3, -1.6, -1.9, 1, 1, 1, 1, 2015-01-05 08:59, 0, , , ,
2015-01-05 09:00, DCNN, 4045, 12, 1, AWSDLY, 516, 1011, 5.3, .7, -2.9, , 1, 1, 1, , 2015-01-05 09:04, 0, , , ,
2015-01-05 09:00, DCNN, 4058, 12, 1, NCM, 56958, 1011, 5.9, -.6, -4.4, , 1, 1, 1, , 2015-01-05 09:00, 0, , , ,
2015-01-05 09:00, DCNN, 4065, 12, 1, AWSDLY, 529, 1011, 3.9, -1.3, -3.7, , 1, 1, 1, , 2015-01-05 09:03, 0, , , ,
